Stat,MLB Average,Wehiwa Aloy,Dante Nori,Andrew Fischer,Daniel Piercre,ROch CHOLOWSKY, Grady Emerson,Josue De Paula
BB%,8.30%,10.10%,14.70%,16.90%,7.90%,12.00%,,13.80%
K%,22.40%,25.70%,13.00%,33.60%,28.60%,12.00%,,14.80%
BB/K,0.37,0.39,0.88,0.5,0.28,1,,0.93
LD%,38.30%,23.00%,45.10%,23.10%,28.60%,,,27.80%
GB%,42.00%,45.60%,28.90%,21.40%,35.70%,35.70%,,40.50%
FB%,19.70%,31.40%,26.00%,55.50%,35.70%,,,31.70%
IFFB%,10.10%,16.00%,20.00%,17.80%,33.30%,,,10.90%
HR/FB%,11.70%,20.00%,4.40%,32.70%,13.30%,,,20.90%
PULL%,40.80%,37.90%,33.30%,57.90%,53.60%,,,44.80%
Z-Swing%,68.80%,,24.90%,,,,,
O-Swing%,31.70%,,69.10%,,,,,
Max-EV,118,114,104.5,113,106.3,,,111
90-EV,104.8,109,100.5,106,,,,106
Barrel%,8.20%,,,,,,,
